B B
C1#CCOCCC=NCCCCCCOCCC=C1 C1#CCO[CH2:1]CC=NCCCCCCOCCC=C1
C1#CCOCCCCCCC1 C1#CC[CH2:1]CCCCCOC1
C1#CCOCCCCCCCCCCCOCC1 C1#CCOCCCCCC[CH2:1]CCCCOCC1
C1#CCOCCCCOCC#CCC1 C1#CCOCC[CH2:1]COCC#CCC1
C1#CCOCCCCOCC#CCC1 C1#CCOC[CH2:1][CH2:1]COCC#CCC1
C1#CCOCCOCCCCCOCCCC=CCCOCCOC1 C1#CCOCCOCCCCCOCC[CH2:1]C=CCCOCCOC1
C1#CCOCCOCCCCCOCCCC=CCCOCCOC1 C1#CCOCCOCCCCCOC[CH2:1]CC=CCCOCCOC1
C1#CCOCCOCCCCCOCCCC=CCCOCCOC1 C1#CCOCCOCCCCCOC[CH2:1][CH2:1]C=CCCOCCOC1
C1#CCSCC#CCC=C1 C1#CCSCC#C[CH2:1]C=C1
C1#CCSCC#CCCCC1 C1#CC[S:1]CC#CCCCC1
C1#CNC=N1 C1#CN[CH:1]=N1
C1=C=CC=CC=1 C1=C=C[CH:1]=CC=1
C1=C=CC=CC=1 C1=C=[CH:1]C=CC=1
C1=CC1 C1=C[CH2:1]1
C1=CC1 C1=[CH:1]C1
C1=CC1 C1[CH:1]=[CH:1]1
C1=CC=C1 C1=C[CH:1]=C1
C1=CC=C1 C1=C[CH:1]=[CH:1]1
C1=CC=C1 C1=[CH:1][CH:1]=C1
C1=CC=CC=C1 C1=CC=[CH:1]C=C1
C1=CC=CC=C1 C1=CC=[CH:1][CH:1]=C1
C1=CC=CC=C1 C1=C[CH:1]=[CH:1]C=C1
C1=CC=CC=C1 C1=C[CH:1]=[CH:1][CH:1]=C1
C1=CC=CC=CC=C1 C1=CC=C[CH:1]=CC=C1
C1=CC=CC=CC=C1 C1=CC=C[CH:1]=[CH:1]C=C1
C1=CC=CC=CC=CC=C1 C1=CC=CC=[CH:1]C=CC=C1
C1=CC=CC=CCCOCCCCCCCCCCCCCCCC=CC=C1 C1=CC=CC=CCCOC[CH2:1]CCCCCCCCCCCCCC=CC=C1
C1=CC=CC=CCOCCC=CCCCCCCCCCCCCCCCCC=CC=C1 C1=CC=CC=CCO[CH2:1]CC=CCCCCCCCCCCCCCCCCC=CC=C1
C1=CC=CC=CC[NH+]=CC=CNCC=CC=CCC=CC=CCNC=CC=[NH+]CC=CC=C1 C1=CC=[CH:1]C=CC=CC[NH+]=CC=CNCC=CC=CCC=CC=CCNC=CC=[NH+]CC=C1
C1=CC=CC=CC[NH+]=CC=CNCCC=CCCC=CC=CCNC=CC=[NH+]CC=CC=C1 C1=CC=[CH:1]C=CC=CC[NH+]=CC=CNCC=CC=CCCC=CCCNC=CC=[NH+]CC=C1
C1=CC=CC=CC[NH+]=CC=CNCCC=CCCC=CC=CCNC=CC=[NH+]CC=CC=C1 C1=CC=[CH:1]C=CC=CC[NH+]=CC=CNCCC=CCCC=CC=CCNC=CC=[NH+]CC=C1
C1=CC=CC=CC[NH+]=CC=CNCCCCCCCCCCNC=CC=[NH+]CC=CC=C1 C1=CC=[CH:1]C=CC=CC[NH+]=CC=CNCCCCCCCCCCNC=CC=[NH+]CC=C1
C1=CC=CC=CN=NC=CC=CC=CC=CC=CN=NC=CC=C1 C1=CC=CC=CN=N[CH:1]=CC=CC=CC=CC=CN=NC=CC=C1
C1=CC=CC=CN=NCC=CCC=CC=CC=CN=NC=CC=C1 C1=CC=CC=CN=NCC=[CH:1]CC=CC=CC=CN=NC=CC=C1
C1=CC=CC=CN=NCC=CCC=CC=CC=CN=NC=CC=C1 C1=CC=CC=CN=N[CH:1]=CC=CC=CCC=CCN=NC=CC=C1
C1=CC=CC=CN=NCC=CCC=CC=CC=CN=NC=CC=C1 C1=CC=CC=[CH:1]N=NC=CC=CC=CCC=CCN=NC=CC=C1
C1=CC=CC=CN=NCC=CCC=CC=CC=CN=NC=CC=C1 C1=CC=CC=[CH:1]N=NCC=CCC=CC=CC=CN=NC=CC=C1
C1=CC=CC=CN=NCC=CCC=CCC=CCN=NC=CC=C1 C1=CC=CC=CN=NCC=[CH:1]CC=CCC=CCN=NC=CC=C1
C1=CC=CC=COCCCCCCOC=CC=C1 C1=CC=C[CH:1]=CC=COCCCCCCOC=C1
C1=CC=CC=COCCOCCOC=CC=C1 C1=CC=C[CH:1]=CC=COCCOCCOC=C1
C1=CC=CCC=C1 C1=CC=C[CH2:1]C=C1
C1=CC=CCC=C1 C1=CC=[CH:1]CC=C1
C1=CC=CCC=C1 C1=CC=[CH:1][CH2:1]C=C1
C1=CC=CCC=C1 C1=CCC=C[CH:1]=C1
C1=CC=CCC=C1 C1=CCC=[CH:1]C=C1
C1=CC=CCC=C1 C1=CCC=[CH:1][CH:1]=C1
C1=CC=CCC=C1 C1=CC[CH:1]=[CH:1]C=C1
C1=CC=CCC=C1 C1=C[CH:1]=[CH:1]C=CC1
C1=CC=CCC=CC=CCCCC=CC=C1 C1=CC=CCCCC=CC=C[CH2:1]C=CC=C1
C1=CC=CCCC=C1 C1=CC=C[CH2:1]CC=C1
C1=CC=CCCC=C1 C1=CC=[CH:1]CCC=C1
C1=CC=CCCC=C1 C1=CC=[CH:1][CH2:1]CC=C1
C1=CC=CCCC=C1 C1=CCCC=C[CH:1]=C1
C1=CC=CCCC=C1 C1=CCCC=[CH:1]C=C1
C1=CC=CCCC=C1 C1=CCC[CH:1]=[CH:1]C=C1
C1=CC=CCCC=CC=CC=CCNCCC=CC=C1 C1=CC=CCCC=CC=CC=CCN[CH2:1]CC=CC=C1
C1=CC=CCCCC=CC=CCCC=C1 C1=CC=CCCCC=[CH:1]C=CCCC=C1
C1=CC=CCCCC=CC=CCCOCC=CCC=CCCC=C1 C1=CC=CCCCC=CC=CC[CH2:1]OCC=CCC=CCCC=C1
C1=CC=CCCCC=CC=CCCOCC=CCC=CCCC=C1 C1=CC=CCC[CH2:1]C=CC=CCCOCC=CCC=CCCC=C1
C1=CC=CCCCC=CC=CCCOCCC=CC=CCCC=C1 C1=CC=CCCCC=CC=CC[CH2:1]OCCC=CC=CCCC=C1
C1=CC=CCCCCC=CC=CC=CCCCNCC=CC=C1 C1=CC=CCCCNCC=CC=[CH:1]C=CC=CCCCCC=C1
C1=CC=CCCCCC=CC=CC=CCNCCC=CC=C1 C1=CC=CCCCCC=CC=CC=CCN[CH2:1]CC=CC=C1
C1=CC=CCCCCC=CC=CCCCC=C1 C1=CC=CCCC[CH2:1]C=CC=CCCCC=C1
C1=CC=CCCCCCC=CCCCCC=C1 C1=CC=CCCC[CH2:1]CC=CCCCCC=C1
C1=CC=CCCCCCCCCCCCCCCC=C1 C1=CC=[CH:1]CCCCCCCCCCCCCCC=C1
C1=CC=CCCCCOC=CCCCCC=C1 C1=CC=[CH:1]CCCCOC=CCCCCC=C1
C1=CC=CCCCCOCCCC=CC=C1 C1=CC=CCCCOCC[CH2:1]CC=CC=C1
C1=CC=CCCCCOCCCC=CC=C1 C1=CC=CCCCO[CH2:1]CCCC=CC=C1
C1=CC=CCCCCOCCCC=CC=C1 C1=CC=CCCCO[CH2:1][CH2:1][CH2:1]CC=CC=C1
C1=CC=CCCCCOCCCCCCCCCOCCCC=CC=C1 C1=CC=CCCCOCCCCCCCCCO[CH2:1]CCCC=CC=C1
C1=CC=CCCCNCCNCCCCC=C1 C1=CC=CCCC[CH2:1]NCCNCCCC=C1
C1=CC=CCCCOC=CC=CC=CC=CCCNCC=CC=C1 C1=CC=CCCNCC=CC=CC=CC=CC[CH2:1]COC=CC=C1
C1=CC=CCCCOC=CC=CC=CC=CCCNCC=CC=C1 C1=CC=CCCNCC=CC=CC=CC=C[CH2:1]CCOC=CC=C1
C1=CC=CCCCOC=CC=CC=CC=CCCNCC=CC=C1 C1=CC=CCCNCC=CC=CC=CC=C[CH2:1][CH2:1]COC=CC=C1
C1=CC=CCCCOCC=CC=CC=CC=CCNCC=CC=C1 C1=CC=CCNCC=CC=CC=CC=CC[CH2:1]COCC=CC=C1
C1=CC=CCCCOCC=CC=CC=CC=CCNCC=CC=C1 C1=CC=CCNCC=CC=CC=CC=C[CH2:1]CCOCC=CC=C1
C1=CC=CCCCOCC=CC=CC=CC=CCNCC=CC=C1 C1=CC=CCNCC=CC=CC=CC=C[CH2:1][CH2:1]COCC=CC=C1
C1=CC=CCCCOCC=CC=CC=CCCCCCC=C1 C1=CC=CCC[CH2:1]OCC=CC=CC=CCCCCCC=C1
C1=CC=CCCCOCC=CC=CC=CCCCCCC=C1 C1=CC=CCOCC[CH2:1]C=CC=CC=CCCCCCC=C1
C1=CC=CCCCOCCCCCCC=CCOCCC=CC=C1 C1=CC=CCCCOCCCCCCC=CCOC[CH2:1]C=CC=C1
C1=CC=CCCCOCCCCCCC=CCOCCC=CC=C1 C1=CC=CCCCOCCCCCCC=CCO[CH2:1]CC=CC=C1
C1=CC=CCCNCC=CCC=C1 C1=CC=CCCN[CH2:1]C=CCC=C1
C1=CC=CCCNCCCCCCC=C1 C1=CC=C[CH2:1]CNCCCCCCC=C1
C1=CC=CCCOCC=CC=CC=CCCCCCCC=C1 C1=CC=CCO[CH2:1]CC=CC=CC=CCCCCCCC=C1
C1=CC=CCCOCC=CCC=C1 C1=CC=CCCOC[CH:1]=CCC=C1
C1=CC=CCCOCCN=CC=CC=CCCC=CCCOCCN=CCCC=C1 C1=CC=CC[CH2:1]OCCN=CC=CC=CCCC=CCCOCCN=CCCC=C1
C1=CC=CCNC=CC=[NH+]CC=CC=CC=CC=CC[NH+]=CC=CNCC=CC=C1 C1=CC=CCNC=CC=[NH+]CC=CC=CC=CC=CC[NH+]=CC=[CH:1]NCC=CC=C1
C1=CC=CCNC=CC=[NH+]CC=CC=CC=CC=CC[NH2+]C=CCNCC=CC=C1 C1=CC=CCNC=CC=[NH+]CC=CC=CC=CC=CC[NH2+][CH:1]=CCNCC=CC=C1
C1=CC=CCNC=CC=[NH+]CC=CC=CCC=CCC[NH+]=CC=CNCC=CC=C1 C1=CC=CCNC=CC=[NH+]CCC=CCC=CC=CC[NH+]=CC=[CH:1]NCC=CC=C1
C1=CC=CCNC=CC=[NH+]CC=CCCC=CCC[NH+]=CC=CNCC=CC=C1 C1=CC=CCNC=CC=[NH+]CCC=CCCC=CC[NH+]=CC=[CH:1]NCC=CC=C1
C1=CC=CCNC=CC=[NH+]CCC=CCC=CC=CC[NH2+]C=CCNCC=CC=C1 C1=CC=CCNC=CC=[NH+]CCC=CCC=CC=CC[NH2+][CH:1]=CCNCC=CC=C1
C1=CC=CCNC=CC=[NH+]CCC=CCCC=CC[NH2+]CCCNCC=CC=C1 C1=CC=CCNC=CC=[NH+]CCC=CCCC=CC[NH2+][CH2:1]CCNCC=CC=C1
C1=CC=CCNC=CC=[NH+]CCCCCCCCCC[NH+]=CC=CNCC=CC=C1 C1=CC=CCNC=CC=[NH+]CCCCCCCCCC[NH+]=CC=[CH:1]NCC=CC=C1
C1=CC=CCNC=CC=[NH+]CCCCCCCCCC[NH2+]CCCNCC=CC=C1 C1=CC=CCNC=CC=[NH+]CCCCCCCCCC[NH2+][CH2:1]CCNCC=CC=C1
C1=CC=CCNC=CCCCCC=CCCCC=CCCC=CCCCCC=C1 C1=CC=CCNC=CCC[CH2:1]CC=CCCCC=CCCC=CCCCCC=C1
C1=CC=CCNCC=CCOCC=CC=CC=CCC=CC=CCOC=CCCNCC=CC=CCC=C1 C1=CC=CCNCC=CCOCC=CC=CC=CCC=CC=CCOC=CC[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCC=CCOCC=CC=CC=CCCC=CCCOC=CCCNCC=CC=CCC=C1 C1=CC=CCNCC=CCOCC=CC=CC=CCCC=CCCOC=CC[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCC=CCOCC=CCCOC=CCCNCC=CC=CCC=C1 C1=CC=CCNCC=CCOCC=CCCOC=CC[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCC=CCOCC=CCCOC=CCCNCCC=CCCC=C1 C1=CC=CCNCC=CCOCC=CCCOC=CC[CH2:1]NCCC=CCCC=C1
C1=CC=CCNCC=CCOCCC=CCC=CCC=CC=CCOC=CCCNCC=CC=CCC=C1 C1=CC=CCNCC=CCOCCC=CCC=CCC=CC=CCOC=CC[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCC=CCOCCC=CCC=CCC=CC=CCOC=CCCNCCC=CCCC=C1 C1=CC=CCNCC=CCOCCC=CCC=CCC=CC=CCOC=CC[CH2:1]NCCC=CCCC=C1
C1=CC=CCNCC=CCOCCC=CCOC=CCCNCC=CC=CCC=C1 C1=CC=CCNCC=CCOCCC=CCOC=CC[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCC=CCOCCC=CCOC=CCCNCCC=CCCC=C1 C1=CC=CCNCC=CCOCCC=CCOC=CC[CH2:1]NCCC=CCCC=C1
C1=CC=CCNCCC=CCCC=CCCCC=CCCC=CCCCCC=C1 C1=CC=CCNCCC=CCCC=CCCCC=CCCC=[CH:1]CCCCC=C1
C1=CC=CCNCCC=CCCCCC=CCC=C1 C1=CC=CC[CH:1]=CCCCCC=CCCNCC=C1
C1=CC=CCNCCC=CCCCCC=CCC=C1 C1=CC=C[CH2:1]C=CCCCCC=CCCNCC=C1
C1=CC=CCNCCC=CCCCCC=CCC=C1 C1=CC=C[CH2:1][CH:1]=CCCCCC=CCCNCC=C1
C1=CC=CCNCCC=COCC=CC=CCOCC=CCNCC=CC=CCC=C1 C1=CC=CCNCCC=COCC=CC=CCOCC=C[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCCC=COCC=CC=CCOCC=CCNCCC=CCCC=C1 C1=CC=CCNCCC=COCC=CC=CCOCC=C[CH2:1]NCCC=CCCC=C1
C1=CC=CCNCCC=COCCC=CCCOCC=CCNCC=CC=CCC=C1 C1=CC=CCNCCC=COCCC=CCCOCC=C[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCCC=COCCCCCCOCC=CCNCC=CC=CCC=C1 C1=CC=CCNCCC=COCCCCCCOCC=C[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCCC=COCCCCCCOCC=CCNCCC=CCCC=C1 C1=CC=CCNCCC=COCCCCCCOCC=C[CH2:1]NCCC=CCCC=C1
C1=CC=CCNCCC=COCCCCOCC=CCNCC=CC=CCC=C1 C1=CC=CCNCCC=COCCCCOCC=C[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCCC=COCCCCOCC=CCNCCC=CCCC=C1 C1=CC=CCNCCC=COCCCCOCC=C[CH2:1]NCCC=CCCC=C1
C1=CC=CCNCCCCCCCCCCCC=C1 C1=CC=CCN[CH2:1]CCCCCCCCCCC=C1
C1=CC=CCNCCCCCCNCCCCCCCCNCCCCCCNCC=CC=C1 C1=CC=CCNCCCCCCNCCCCCCCCNCCCCCC[NH:1]CC=CC=C1
C1=CC=CCNCCCCCCNCCCCCCCCNCCCCCCNCC=CC=C1 C1=CC=CCNCCCCCCNCCCCCCCC[NH:1]CCCCCCNCC=CC=C1
C1=CC=CCNCCNCCCC=C1 C1=CC=CC[CH2:1]CNCCNCC=C1
C1=CC=CCNCCNCCNCCC=CC=CC=CCNCCNCCNCCC=C1 C1=CC=CCNCCNCCNCCC=[CH:1]C=CC=CCNCCNCCNCCC=C1
C1=CC=CCNCCOC=CC=CCOCCNCC=CC=CCC=C1 C1=CC=CCNCCOC=CC=CCOC[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCCOC=CC=CCOCCNCCC=CCCC=C1 C1=CC=CCNCCOC=CC=CCOC[CH2:1]NCCC=CCCC=C1
C1=CC=CCNCCOC=CCOCCNCC=CC=CCC=C1 C1=CC=CCNCCOC=CCOC[CH2:1]NCC=CC=CCC=C1
C1=CC=CCNCCOC=CCOCCNCCC=CCCC=C1 C1=CC=CCNCCOC=CCOC[CH2:1]NCCC=CCCC=C1
C1=CC=CCNCCOCCCCOCCNCC=CC=CCC=C1 C1=CC=CCN[CH2:1]COCCCCOCCNCC=CC=CCC=C1
C1=CC=CCNCCOCCCCOCCNCCC=CCCC=C1 C1=CC=CCN[CH2:1]COCCCCOCCNCCC=CCCC=C1
C1=CC=CCNCN=CNCC=C1 C1=CC=C[CH2:1]NC=NCNCC=C1
C1=CC=CCNCN=CNCC=C1 C1=CCNCN=CNCC=[CH:1]C=C1
C1=CC=CCNCN=CNCC=C1 C1=CCNCN=CN[CH2:1][CH:1]=[CH:1]C=C1
C1=CC=CCOCC=CCNCC=CC=CC=CCCC=CCCNCCC=COCC=CC=CCC=C1 C1=CC=CCOCC=CCNCC=CC=CC=CCCC=CCCN[CH2:1]CC=COCC=CC=CCC=C1
C1=CC=CCOCC=CCNCCC=CCC=CCC=CC=CCNCCC=COCC=CC=CCC=C1 C1=CC=CCOCC=CCNCCC=CCC=CCC=CC=CCN[CH2:1]CC=COCC=CC=CCC=C1
C1=CC=CCOCC=CCNCCC=CCC=CCC=CC=CCNCCC=COCCC=CCCC=C1 C1=CC=CCOCC=CCNCCC=CCC=CCC=CC=CCN[CH2:1]CC=COCCC=CCCC=C1
C1=CC=CCOCCC=CC=CCCC=C1 C1=CC=CCO[CH2:1]CC=CC=CCCC=C1
C1=CC=CCOCCC=CC=CCCC=C1 C1=CC=CC[CH2:1]C=CC=CCCOCC=C1
C1=CC=CCOCCC=CC=CCCC=C1 C1=CC=C[CH2:1]CC=CC=CCCOCC=C1
C1=CC=CCOCCC=CC=CCCC=C1 C1=CC=C[CH2:1][CH2:1]C=CC=CCCOCC=C1
C1=CC=CCOCCCCCCC=CC=CCCC=C1 C1=CC=CCO[CH2:1]CCCCCC=CC=CCCC=C1
C1=CC=CCSCCNCCCOCC=CCOCCCNCCSCC=CC=C1 C1=CC=CCSCCNCCCOCC=[CH:1]COCCCNCCSCC=CC=C1
C1=CC=CCSCCNCCCOCC=CCOCCCNCCSCC=CC=CCC=C1 C1=CC=CCSCCNCCCOCC=[CH:1]COCCCNCCSCC=CC=CCC=C1
C1=CC=CCSCCNCCCOCC=CCOCCCNCCSCCC=CCCC=C1 C1=CC=CCSCCNCCCOCC=[CH:1]COCCCNCCSCCC=CCCC=C1
C1=CC=CC[NH+]=CC=CNCC=CC=CCC=CC=CCNC=CC=[NH+]CC=CC=C1 C1=CC=CC[NH+]=CC=CNCC=CC=CCC=CC=CCN[CH:1]=CC=[NH+]CC=CC=C1
C1=CC=CC[NH+]=CC=CNCC=CC=CCC=CC=CCNC=CC=[NH+]CCC=CCC=C1 C1=CC=[CH:1]CC=CCC[NH+]=CC=CNCC=CC=CCC=CC=CCNC=CC=[NH+]CC=C1
C1=CC=CC[NH+]=CC=CNCC=CC=CCC=CC=CCNC=CC=[NH+]CCC=CCC=C1 C1=CCC=CC=CCNC=CC=[NH+]CCC=CCC=[CH:1]C=CC=CC[NH+]=CC=CNCC=C1
